"NoW March 27, 2019",0
"PewDiePie fans keep making junk ransomware: Please, YouTube! Just hide PewDiePie and T-Series' followers count and put this competition to bed.",https://www.zdnet.com/article/pewdiepie-fans-keep-making-junk-ransomware/
How Microsoft found a Huawei driver that opened systems to attack,https://arstechnica.com/gadgets/2019/03/how-microsoft-found-a-huawei-driver-that-opened-systems-up-to-attack/
"New Huawei phone has a 5x optical zoom, thanks to a periscope lens",https://arstechnica.com/gadgets/2019/03/new-huawei-phone-has-a-5x-optical-zoom-thanks-to-a-periscope-lens/
US Is Forcing A Chinese Firm To Sell Gay Dating App Grindr,https://www.wired.com/story/us-forcing-chinese-firm-sell-gay-dating-app-grindr/
HMD admits the Nokia 7 Plus was sending personal data to China,https://arstechnica.com/gadgets/2019/03/hmd-admits-the-nokia-7-plus-was-sending-personal-data-to-china/
How Internet Mercenaries Do Battle for Authoritarian Governments ,https://harvard.us10.list-manage.com/track/click?u=ef13e6d75b74b1791f13115cd&id=003d587682&e=90a8528ef9
"HTML email reborn, as Google brings AMP to your inbox",https://arstechnica.com/gadgets/2019/03/google-brings-amp-to-email-turning-your-inbox-into-an-app/
Google regrets 'minor glitch' that sent Ghanaian currency plummeting,https://edition.cnn.com/2019/03/22/africa/google-cedi-error/
U.S. Supreme Court Refuses to Search Google Settlement Agreement for Fairness ,https://www.lexology.com/library/detail.aspx?g=053150ed-929f-4c89-a676-0ce8f3ab1b14
SCOTUS Remands Google Case to the Ninth Circuit for Spokeo Standing Analysis ,https://www.lexology.com/library/detail.aspx?g=f6015d25-5571-4164-9826-da9f5ab96269
Tenth Lawsuit Against Social Media Providers for “Materially Supporting Terrorists” Fails–Sinclair v. Twitter (Eric Goldman),https://blog.ericgoldman.org/archives/2019/03/tenth-lawsuit-against-social-media-providers-for-materially-supporting-terrorists-fails-sinclair-v-twitter.htm
"The echo of American Fair Use and of its boundaries, in the EU and Italian System. A comparative analysis in the wake of the Fox News victory over TVEyes",https://www.lexology.com/library/detail.aspx?g=7335d482-3f7e-4b37-8db5-bb5e38829ad6
Nevada Judge Says Online News Publications Aren't Protected By The State's Journalist Shield Law,https://www.techdirt.com/articles/20190307/11494341755/nevada-judge-says-online-news-publications-arent-protected-states-journalist-shield-law.shtml
"Talking Cat App Should Keep Quiet on Advertising, CARU Recommends",https://www.lexology.com/library/detail.aspx?g=77cb6623-be0d-4b95-ba72-ba23645692e2
A 'Dark Day': Copyright Law That Threatens the Internet as We Know It Passes Final EU Vote,https://gizmodo.com/a-dark-day-copyright-law-that-threatens-the-internet-a-1833570802
EU parliament passes controversial copyright overhaul [Updated],https://arstechnica.com/tech-policy/2019/03/the-eu-votes-on-a-confusing-new-copyright-law-tuesday/
EU Puts An End To The Open Internet: Link Taxes And Filters Approved By Just 5 Votes,https://www.techdirt.com/articles/20190326/05584741869/eu-puts-end-to-open-internet-link-taxes-filters-approved-just-5-votes.shtml
"The European Parliament has voted in favour of Article 13: Critics argued that Article 13, and related legislation passed today by MEPs, risked infringing on freedom of speech",https://www.wired.co.uk/article/eu-article-13-vote-article-17
Article 13 - MEME Law is coming...,https://www.lexology.com/library/detail.aspx?g=1191618e-8200-49db-b9d7-c89d494d5546
“Memes banned” - the European Parliament votes in the EU Copyright Directive including controversial Articles 11 and 13 ,https://www.lexology.com/library/detail.aspx?g=5f7c70c6-e333-4a60-abe3-78464969dfd6
"EU Parliament Passes Controversial “Meme Ban”: It's a ""dark day for internet freedom.""",https://futurism.com/eu-parliament-passes-controversial-meme-ban-and-link-tax/
"Swedish MEPs Announce Support For Article 13, Demonstrate Near Total Ignorance Of What It Actually Entails",https://www.techdirt.com/articles/20190325/14573141866/swedish-meps-announce-support-article-13-demonstrate-near-total-ignorance-what-it-actually-entails.shtml
New Report: Germany Caved To France On Copyright In A Deal For Russian Gas,https://www.techdirt.com/articles/20190325/14404641865/new-report-germany-caved-to-france-copyright-deal-russian-gas.shtml
